Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6697968,"Fall of Gilead (Stephen King's The Dark Tower: Beginnings, #4)",Robin Furth,"Furth, Robin","Peter David, Richard Isanove, Stephen        King","=""0785129510""","=""9780785129516""",5,4.35,Marvel,Hardcover,208,2010,2009,,2013/09/19,,,read,,,,1,0
6215832,"Treachery (Stephen King's The Dark Tower: Beginnings, #3)",Robin Furth,"Furth, Robin","Peter David, Jae Lee, Richard Isanove","=""078513574X""","=""9780785135746""",5,4.25,Marvel Enterprises,Hardcover,144,2009,2009,,2013/09/19,,,read,,,,1,0
342445,"The Gunslinger Born (Stephen King's The Dark Tower: Beginnings, #1)",Peter David,"David, Peter","Robin Furth, Jae Lee, Richard Isanove, Stephen        King, Ralph Macchio","=""0785121447""","=""9780785121442""",5,4.23,Marvel Comics,Hardcover,240,2007,2007,,2013/09/19,,,read,,,,1,0
469571,"All the Pretty Horses (The Border Trilogy, #1)",Cormac McCarthy,"McCarthy, Cormac",,"=""0679744398""","=""9780679744399""",4,4.05,Vintage,Paperback,302,1993,1992,,2013/09/19,,,read,,,,1,0
9014,The Long Walk,Richard  Bachman,"Bachman, Richard",Stephen        King,"=""0451196716""","=""9780451196712""",5,4.07,Signet,Mass Market Paperback,370,1999,1978,,2013/09/19,,,read,,,,1,0
349473,Blaze,Richard  Bachman,"Bachman, Richard",Stephen        King,"=""141655484X""","=""9781416554844""",4,3.77,Scribner,Hardcover,285,2007,2007,,2013/09/19,,,read,,,,1,0
672875,Le Morte d'Arthur: King Arthur and the Legends of the Round Table,Thomas Malory,"Malory, Thomas","Keith Baines, Robert Graves","=""0451528166""","=""9780451528162""",4,3.92,Signet Classics,Mass Market Paperback,512,2001,1485,,2013/09/19,,,read,,,,1,0
10607,"Black House (The Talisman, #2)",Stephen        King,"King, Stephen",Peter Straub,"=""034547063X""","=""9780345470638""",5,4.04,Ballantine Books,Paperback,659,2003,2001,,2013/09/19,,,read,,,,1,0
10588,Nightmares and Dreamscapes,Stephen        King,"King, Stephen",,"=""0450610098""","=""9780450610097""",4,3.95,New English Library,Paperback,836,1994,1993,,2013/09/19,,,read,,,,1,0
17660,The Tommyknockers,Stephen        King,"King, Stephen",,"=""""","=""""",5,3.60,Signet,Mass Market Paperback,747,1993,1987,,2013/09/19,,,read,,,,1,0
5093,"Song of Susannah (The Dark Tower, #6)",Stephen        King,"King, Stephen",Darrel Anderson,"=""1416521496""","=""9781416521495""",4,4.00,Pocket Books,Mass Market Paperback,544,2006,2004,,2013/09/19,,,read,,,,1,0
10611,The Eyes of the Dragon,Stephen        King,"King, Stephen",,"=""""","=""""",5,3.95,Time Warner Paperbacks,Paperback,427,1993,1987,,2013/09/19,,,read,,,,1,0
11564,The Girl Who Loved Tom Gordon,Stephen        King,"King, Stephen",,"=""1416524290""","=""9781416524298""",5,3.64,Pocket,Mass Market Paperback,264,2000,1999,,2013/09/19,,,read,,,,1,0
59219,"The Talisman (The Talisman, #1)",Stephen        King,"King, Stephen",Peter Straub,"=""0375507779""","=""9780375507779""",5,4.11,Random House,Hardcover,656,2001,1984,,2013/09/19,,,read,,,,1,0
11597,The Dark Half,Stephen        King,"King, Stephen",,"=""045052468X""","=""9780450524684""",5,3.81,New English Library,Paperback,460,1990,1989,,2013/09/19,,,read,,,,1,0
4978,"Wolves of the Calla (The Dark Tower, #5)",Stephen        King,"King, Stephen",Bernie Wrightson,"=""141651693X""","=""9781416516934""",4,4.20,Pocket Books,Mass Market Paperback,960,2006,2003,,2013/09/19,,,read,,,,1,0
5091,"The Dark Tower (The Dark Tower, #7)",Stephen        King,"King, Stephen",Michael   Whelan,"=""""","=""""",4,4.29,Pocket Books,Mass Market Paperback,1050,2006,2004,,2013/09/19,,,read,,,,1,0
11570,Dreamcatcher,Stephen        King,"King, Stephen",,"=""2226131906""","=""9782226131904""",4,3.66,,Paperback,688,2002,2001,,2013/09/19,,,read,,,,1,0
10628,Night Shift,Stephen        King,"King, Stephen",,"=""""","=""""",4,4.04,Hodder & Stoughton,Paperback,409,1979,1978,,2013/09/19,,,read,,,,1,0
5096,"Wizard and Glass (The Dark Tower, #4)",Stephen        King,"King, Stephen",Dave McKean,"=""0340829788""","=""9780340829783""",5,4.27,New English Library,Paperback,845,2003,1997,,2013/09/19,,,read,,,,1,0
34084,"The Waste Lands (The Dark Tower, #3)",Stephen        King,"King, Stephen",Ned Dameron,"=""0670032565""","=""9780670032563""",5,4.25,Viking Adult,Hardcover,422,2003,1991,,2013/09/19,,,read,,,,1,0
5094,"The Drawing of the Three (The Dark Tower, #2)",Stephen        King,"King, Stephen",,"=""0451210859""","=""9780451210852""",4,4.24,Signet,Paperback,463,2003,1987,,2013/09/19,,,read,,,,1,0
11573,The Dead Zone,Stephen        King,"King, Stephen",,"=""0451155750""","=""9780451155757""",5,3.97,Signet/New American Library,Mass Market Paperback,402,1980,1979,,2013/09/19,,,read,,,,1,0
11590,’Salem’s Lot,Stephen        King,"King, Stephen",,"=""0450031063""","=""9780450031069""",5,4.10,New English Library,Paperback,483,1991,1975,,2013/09/19,,,read,,,,1,0
43615,"The Gunslinger (The Dark Tower, #1)",Stephen        King,"King, Stephen",,"=""1501143514""","=""9781501143519""",5,3.92,Plume,Paperback,231,2003,1982,,2013/09/19,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",0,4.34,Scholastic Press,Hardcover,391,2009,2009,,2013/09/19,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,4.10,Scholastic Press,Hardcover,390,2010,2010,,2013/09/19,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",0,4.34,Scholastic Press,Hardcover,374,2008,2008,,2013/09/19,,,read,,,,1,0
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""0553381695""","=""9780553381696""",5,4.42,Random House Worlds,Paperback,1009,2002,1998,2013/09/08,2013/09/19,,,read,,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.44,Bantam,Mass Market Paperback,835,2005,1996,2013/01/01,2013/09/19,,,read,,,,1,0
